country_code,country_name,gdp_per_capita_pps,desi_score,water_exploitation_index,open_data_maturity,egovernment_usage_pct,data_infrastructure_score
AT,Austria,126,52.4,3.4,94,72,73.2
BE,Belgium,118,49.3,30.2,90,61,69.65
BG,Bulgaria,57,37.4,3.1,62,37,49.7
HR,Croatia,70,45.3,1.0,80,51,62.65
CY,Cyprus,91,44.8,66.2,94,63,69.4
CZ,Czechia,91,48.3,12.1,86,62,67.15
DK,Denmark,136,63.3,5.0,89,83,76.15
EE,Estonia,89,53.9,12.8,92,77,72.95
FI,Finland,111,69.3,2.2,88,82,78.65
FR,France,104,51.7,15.5,95,70,73.35
DE,Germany,118,52.9,20.2,91,63,71.95
GR,Greece,68,38.9,16.7,74,52,56.45
HU,Hungary,76,44.3,5.2,84,59,64.15
IE,Ireland,224,56.4,2.1,94,73,75.19999999999999
IT,Italy,98,45.5,23.8,88,50,66.75
LV,Latvia,72,46.5,3.8,80,72,63.25
LT,Lithuania,84,50.8,3.0,87,68,68.9
LU,Luxembourg,261,55.2,2.9,81,72,68.1
MT,Malta,100,53.4,42.5,72,50,62.7
NL,Netherlands,130,67.4,10.2,93,72,80.2
PL,Poland,77,40.5,19.7,87,55,63.75
PT,Portugal,76,50.8,13.5,91,61,70.9
RO,Romania,72,35.0,3.3,71,33,53.0
SK,Slovakia,70,47.9,1.4,79,58,63.45
SI,Slovenia,89,48.5,3.0,91,55,69.75
ES,Spain,85,50.5,32.4,95,61,72.75
SE,Sweden,120,65.1,1.5,84,83,74.55
